,model,prompt_method,n_samples,KL Divergence,Wasserstein,MMD
21,claude-3-sonnet-20240229,self_consistency,2092,6.8561777853039665,0.04903605332503617,0.008000468884040268
11,claude-3-5-sonnet-20240620,step_back_prompting,2249,7.785554613709485,0.030825223134705124,0.004465214063734457
17,claude-3-sonnet-20240229,least_to_most,2175,8.955623550541905,0.35296997759669896,0.09707663678299006
45,gpt-3.5-turbo-0125,self_consistency,2176,9.076088956036795,0.06558624828712112,0.015040001286905413
53,gpt-4o,least_to_most,1873,9.41882154837163,0.19963507218402876,0.065896919435116
10,claude-3-5-sonnet-20240620,skeleton_of_thought,2250,9.521195043265894,0.04025944495669855,0.007867924153679873
48,gpt-4o,chain_of_thought,1281,9.724679785843762,0.27808499059464603,0.07579131493563018
22,claude-3-sonnet-20240229,skeleton_of_thought,1923,10.157336233897006,0.12122824734092144,0.039721222276518864
12,claude-3-sonnet-20240229,chain_of_thought,1549,10.211547480005512,0.0929297389874562,0.03555397347836453
110,mixtral:8x22b,directional_stimuli,1934,10.291591537080569,0.4136419077987206,0.2106903117640635
52,gpt-4o,generated_knowledge,2172,10.402158227983985,0.12128092393955768,0.04517524708642018
43,gpt-3.5-turbo-0125,rephrase_and_respond,2203,10.63890453600446,0.19485340744282226,0.12857016843814106
57,gpt-4o,self_consistency,2163,10.747889736815189,0.11027988218188549,0.04244984851516764
46,gpt-3.5-turbo-0125,skeleton_of_thought,2197,11.003030525672282,0.2130671749521604,0.14029436876041435
8,claude-3-5-sonnet-20240620,reverse_prompting,2249,11.161981615858185,0.06606761840056778,0.023016512448798654
56,gpt-4o,reverse_prompting,1597,11.242769695425556,0.3393930711497446,0.09321727788200884
105,mistral:7b,self_consistency,433,11.276525580054784,0.2818302046836189,0.05283822197162458
20,claude-3-sonnet-20240229,reverse_prompting,1749,11.465685921227122,0.1469220274078065,0.0568232025975175
44,gpt-3.5-turbo-0125,reverse_prompting,1479,11.516589914464404,0.16830543850062676,0.048915529895855014
2,claude-3-5-sonnet-20240620,directional_stimuli,2249,11.550238115226577,0.10025664264966212,0.09101573763799786
63,llama2:13b,emotion_prompt,341,11.657476899460844,0.2707541055118051,0.04341892008323156
47,gpt-3.5-turbo-0125,step_back_prompting,2155,11.764843726529095,0.09411444085413691,0.04235784694689282
41,gpt-3.5-turbo-0125,least_to_most,2143,11.771189361743108,0.11168035456265948,0.0536242227700352
58,gpt-4o,skeleton_of_thought,2188,11.781006919065412,0.21087446593906936,0.08003981952569239
18,claude-3-sonnet-20240229,recursive_criticism_and_improvement,1839,11.781249360800055,0.20392337439932634,0.12658367716425167
54,gpt-4o,recursive_criticism_and_improvement,2112,11.985721061929997,0.26159415578638945,0.0942252162030861
78,llama3:70b,recursive_criticism_and_improvement,735,12.175079517988733,0.1736056211491326,0.062144650201134466
15,claude-3-sonnet-20240229,emotion_prompt,2246,12.237499422446781,0.3405269549778486,0.3048805211472837
50,gpt-4o,directional_stimuli,2219,12.305016218388857,0.18854524088174895,0.11734131435121409
55,gpt-4o,rephrase_and_respond,2249,12.321151943107743,0.15143757917873285,0.07212159422757747
49,gpt-4o,chain_of_verification,1906,12.36623856569579,0.4554511740514871,0.14206128857220057
0,claude-3-5-sonnet-20240620,chain_of_thought,2250,12.603285097799036,0.06738439293571774,0.024652502651554276
99,mistral:7b,emotion_prompt,323,12.616137280869015,0.4808713691751141,0.13570933496736637
13,claude-3-sonnet-20240229,chain_of_verification,2057,12.809535613796529,0.1537443457050664,0.05080323402325848
5,claude-3-5-sonnet-20240620,least_to_most,2250,12.848229655219276,0.07178647086809806,0.02519226451672285
3,claude-3-5-sonnet-20240620,emotion_prompt,2250,12.977508633248597,0.17707086764017888,0.133830630080092
94,llama3:8b,skeleton_of_thought,1723,13.289620077883997,0.23509834816853448,0.091044762846749
70,llama2:13b,skeleton_of_thought,234,13.372980094602203,0.281692369804992,0.08121065585708576
38,gpt-3.5-turbo-0125,directional_stimuli,2191,13.384880928295747,0.15968026463459056,0.11100725312566206
93,llama3:8b,self_consistency,1523,13.411494599391567,0.231724290060663,0.09052271523600663
1,claude-3-5-sonnet-20240620,chain_of_verification,2250,13.51991148989052,0.07080916244561604,0.020141607084819935
59,gpt-4o,step_back_prompting,1489,13.538258880029677,0.21612592441997694,0.08483668159188529
42,gpt-3.5-turbo-0125,recursive_criticism_and_improvement,2222,13.69607302439319,0.17688087676315428,0.1248182306725345
40,gpt-3.5-turbo-0125,generated_knowledge,2117,13.892517910618688,0.1372206714378003,0.06284470473343129
51,gpt-4o,emotion_prompt,2249,14.01213759231162,0.20012180767859203,0.09466022537485874
73,llama3:70b,chain_of_verification,626,14.152229686202254,0.31426336218048345,0.09462921940136204
76,llama3:70b,generated_knowledge,1658,14.197502049355682,0.1641000061908166,0.07156654817691499
111,mixtral:8x22b,emotion_prompt,1797,14.42170186104735,0.3700893564403747,0.22850714620959567
114,mixtral:8x22b,recursive_criticism_and_improvement,1510,14.737841919200964,0.2076720461938282,0.07939909288309233
7,claude-3-5-sonnet-20240620,rephrase_and_respond,2250,14.848397515279833,0.10503353264572615,0.052032316410572266
121,phi3:medium-128k,chain_of_verification,579,15.123491210816306,0.25407703180040914,0.11618291998137353
32,gemma:7b,reverse_prompting,129,15.200664022654594,0.1433747938006615,0.09147703525454731
113,mixtral:8x22b,least_to_most,1634,15.229479333563479,0.17034046197388264,0.10547415601948407
64,llama2:13b,generated_knowledge,383,15.294469567323594,0.17292055165845374,0.07518488968503845
60,llama2:13b,chain_of_thought,268,15.300980382241839,0.23266568062722556,0.04143445890745423
85,llama3:8b,chain_of_verification,747,15.362651583861188,0.19056117714919438,0.10555839450585403
117,mixtral:8x22b,self_consistency,1856,15.460674356581936,0.15405030774975195,0.08666877647408189
80,llama3:70b,reverse_prompting,130,15.564576332089317,0.17352889744090177,0.05846861416952298
81,llama3:70b,self_consistency,922,15.715062613086955,0.14272627332466703,0.0744942979464398
36,gpt-3.5-turbo-0125,chain_of_thought,897,15.982363118189177,0.17826542450681723,0.0718122893301576
119,mixtral:8x22b,step_back_prompting,1835,16.01609536479579,0.18030158951404512,0.13929476624475545
101,mistral:7b,least_to_most,124,16.036523422026544,0.2919884354876891,0.06789002779674314
108,mixtral:8x22b,chain_of_thought,1346,16.169217668791784,0.2951853028258982,0.17520395445981896
77,llama3:70b,least_to_most,427,16.18654610230593,0.14593500441465215,0.08246468634338511
67,llama2:13b,rephrase_and_respond,430,16.285024647377416,0.1785373405905538,0.053317476929251706
129,phi3:medium-128k,self_consistency,1120,16.3108964413598,0.17372614493682073,0.0725134475142446
72,llama3:70b,chain_of_thought,633,16.4829184485967,0.15197102831919068,0.09654654105661686
96,mistral:7b,chain_of_thought,285,16.518064068278182,0.18724998931762266,0.08301174221376706
88,llama3:8b,generated_knowledge,1887,16.639108750651797,0.29064655837025816,0.1062781842949223
