,model,prompt_method,sample_size,n_samples,KL Divergence,Wasserstein,MMD
56,claude-3-5-sonnet-20240620,self_consistency,rs_size_150,375,7.398525343475033,0.030898561124112805,0.0010886174007229688
229,gpt-3.5-turbo-0125,recursive_criticism_and_improvement,rs_size_10,373,7.64678836885036,0.10206124814711627,0.03012728689157007
34,claude-3-5-sonnet-20240620,least_to_most,rs_size_5,375,7.688352881111826,0.03749194481687805,0.006323353958304745
68,claude-3-5-sonnet-20240620,step_back_prompting,rs_size_150,374,7.877296317518068,0.06517138697957625,0.01123467148245072
101,claude-3-sonnet-20240229,generated_knowledge,rs_size_50,375,8.281418570638495,0.06080078854765656,0.004874515144148717
62,claude-3-5-sonnet-20240620,skeleton_of_thought,rs_size_150,375,9.730254868706332,0.08163246617204101,0.025495982098517667
106,claude-3-sonnet-20240229,least_to_most,rs_size_5,362,9.85724158889253,0.38597315718055814,0.09075553554663274
12,claude-3-5-sonnet-20240620,directional_stimuli,rs_size_10,374,10.087094955210892,0.14701963059748396,0.06358010484351984
258,gpt-3.5-turbo-0125,step_back_prompting,rs_size_10,361,10.093020687647266,0.15757828234458612,0.016879007876606344
26,claude-3-5-sonnet-20240620,generated_knowledge,rs_size_150,375,10.199006246935815,0.09143962471870296,0.031284937170171334
399,llama3:70b,generated_knowledge,rs_size_150,366,10.26335756603078,0.08218513665974632,0.016949424812855884
272,gpt-4o,chain_of_verification,rs_size_25,309,10.483190181480861,0.3969057544153985,0.0747817907528674
96,claude-3-sonnet-20240229,generated_knowledge,rs_size_10,375,10.692118209367111,0.15839847468280552,0.046058155751683705
64,claude-3-5-sonnet-20240620,skeleton_of_thought,rs_size_5,375,10.70645317784748,0.05293575705175975,0.013823864732674496
614,mixtral:8x22b,least_to_most,rs_size_5,242,10.783673921799855,0.18064610247755544,0.06578554937241132
82,claude-3-sonnet-20240229,chain_of_verification,rs_size_5,309,11.004821535894232,0.1310814151712065,0.03442452187992506
107,claude-3-sonnet-20240229,least_to_most,rs_size_50,374,11.101379239937868,0.377139786244995,0.033814327947170986
128,claude-3-sonnet-20240229,self_consistency,rs_size_150,375,11.334905234983774,0.04819903585446881,0.0049790557231133015
130,claude-3-sonnet-20240229,self_consistency,rs_size_5,270,11.382427022657527,0.17894129788520802,0.05604028570016717
483,llama3:8b,recursive_criticism_and_improvement,rs_size_25,74,11.407791342599504,0.0876630626361755,0.01686451416510648
235,gpt-3.5-turbo-0125,rephrase_and_respond,rs_size_10,370,11.691600131739714,0.13530708130304372,0.06116293459419486
22,claude-3-5-sonnet-20240620,emotion_prompt,rs_size_5,375,11.894480690592692,0.07642401235811049,0.02788060956053373
50,claude-3-5-sonnet-20240620,reverse_prompting,rs_size_150,375,12.026272545355695,0.11673628654476075,0.05608299649627835
302,gpt-4o,recursive_criticism_and_improvement,rs_size_25,352,12.071998708614995,0.161020801311291,0.04553469194523441
284,gpt-4o,emotion_prompt,rs_size_25,375,12.095715792413355,0.08857655559363649,0.029610399637634677
105,claude-3-sonnet-20240229,least_to_most,rs_size_25,350,12.375668105666037,0.08589976698644929,0.026869476292949335
295,gpt-4o,least_to_most,rs_size_150,271,12.38424993638173,0.43955563821593674,0.14754821149291097
77,claude-3-sonnet-20240229,chain_of_thought,rs_size_50,325,12.685984754598786,0.05678322178751275,0.004652405441997853
638,mixtral:8x22b,self_consistency,rs_size_5,257,12.812996230975982,0.1150137294058324,0.05826725576913172
309,gpt-4o,rephrase_and_respond,rs_size_5,374,12.873086111818743,0.3162165392546256,0.08070976311251266
316,gpt-4o,reverse_prompting,rs_size_50,232,12.930972437423657,0.2276727069128889,0.05919599111644591
241,gpt-3.5-turbo-0125,reverse_prompting,rs_size_10,266,13.075744053880637,0.15854918271561882,0.02012829272686334
40,claude-3-5-sonnet-20240620,recursive_criticism_and_improvement,rs_size_5,375,13.184280065085815,0.07844790288187523,0.028621065986284666
249,gpt-3.5-turbo-0125,self_consistency,rs_size_25,367,13.194587201525303,0.05354648811593594,0.008096528479474507
299,gpt-4o,recursive_criticism_and_improvement,rs_size_10,373,13.356425633078766,0.2794841640114489,0.08981413553024975
509,llama3:8b,skeleton_of_thought,rs_size_50,318,13.46550798143274,0.2427959181488774,0.07664480146710084
275,gpt-4o,directional_stimuli,rs_size_10,375,13.50885041458697,0.15198398023606233,0.06486527281322862
324,gpt-4o,skeleton_of_thought,rs_size_100,375,13.558737240151181,0.21612688365297927,0.06778820196484592
313,gpt-4o,reverse_prompting,rs_size_150,301,13.633992418676668,0.4778267472286181,0.10378064737563286
137,claude-3-sonnet-20240229,skeleton_of_thought,rs_size_50,375,13.65214560040807,0.0679396763927851,0.008744633538868785
291,gpt-4o,generated_knowledge,rs_size_5,372,13.692931306611012,0.2883360641316381,0.1231417373811583
39,claude-3-5-sonnet-20240620,recursive_criticism_and_improvement,rs_size_25,375,13.74294781687031,0.07034706621602933,0.023352348395752065
281,gpt-4o,emotion_prompt,rs_size_10,375,13.758997198487668,0.1886755010809281,0.0873545827694504
312,gpt-4o,reverse_prompting,rs_size_100,346,13.856972442219904,0.24686447493452665,0.13511156092763255
303,gpt-4o,recursive_criticism_and_improvement,rs_size_5,332,13.958093216473522,0.3779075510056774,0.09964083034311
135,claude-3-sonnet-20240229,skeleton_of_thought,rs_size_25,323,14.084068232882855,0.07820514470889268,0.02336291728615847
317,gpt-4o,self_consistency,rs_size_10,345,14.085249986079612,0.2159205329845368,0.09483781579994499
267,gpt-4o,chain_of_thought,rs_size_5,298,14.101713940771665,0.20346257464676812,0.04408772183695375
294,gpt-4o,least_to_most,rs_size_100,349,14.162668207808276,0.18326271028137953,0.09673697161914707
331,gpt-4o,step_back_prompting,rs_size_150,257,14.195675078508632,0.1237068256088647,0.05252094809946661
217,gpt-3.5-turbo-0125,generated_knowledge,rs_size_10,366,14.282152956673247,0.06382325385128997,0.020760044770751662
429,llama3:70b,self_consistency,rs_size_150,321,14.294845709203772,0.17426636748977073,0.08553820463207895
136,claude-3-sonnet-20240229,skeleton_of_thought,rs_size_5,325,14.439943648928049,0.13710741393156398,0.05740791173611681
293,gpt-4o,least_to_most,rs_size_10,309,14.546210071230337,0.14311228908275578,0.07146445013784364
264,gpt-4o,chain_of_thought,rs_size_10,252,14.59204237284709,0.19582640364593826,0.08504288768698554
270,gpt-4o,chain_of_verification,rs_size_100,365,14.708445479034769,0.3517147742464862,0.10966820440818448
266,gpt-4o,chain_of_thought,rs_size_150,251,14.712982746454855,0.48620977755176903,0.10447281092073468
252,gpt-3.5-turbo-0125,skeleton_of_thought,rs_size_10,367,14.737297577667794,0.06156911588758058,0.01647217509273924
244,gpt-3.5-turbo-0125,reverse_prompting,rs_size_5,302,14.763164849178738,0.3032572934467733,0.1037888429763123
452,llama3:8b,chain_of_verification,rs_size_150,118,14.793753376112619,0.2009716473079665,0.07257477905397036
336,llama2:13b,chain_of_thought,rs_size_25,71,14.882661911134752,0.053662353277666115,0.0072867182203530945
285,gpt-4o,emotion_prompt,rs_size_5,375,15.163348418584558,0.29804211360822797,0.09619998176646827
603,mixtral:8x22b,emotion_prompt,rs_size_50,314,15.315388282305268,0.29623215279023624,0.11881041424884886
405,llama3:70b,least_to_most,rs_size_150,188,15.53879868772874,0.18873474917564456,0.10540906499500546
314,gpt-4o,reverse_prompting,rs_size_25,293,15.579538020324055,0.26478226724797616,0.08112866839039756
417,llama3:70b,rephrase_and_respond,rs_size_150,369,15.580219790680166,0.19784687025467182,0.10155146549640426
274,gpt-4o,chain_of_verification,rs_size_50,306,15.596709360658497,0.5302213158004386,0.12409846763856058
347,llama2:13b,generated_knowledge,rs_size_10,138,15.681789670061148,0.12530593634491008,0.06426175051728267
332,gpt-4o,step_back_prompting,rs_size_25,219,15.733837415845,0.13007997235359578,0.03737864328655238
18,claude-3-5-sonnet-20240620,emotion_prompt,rs_size_10,375,15.748162261604643,0.0926363902861697,0.05678517785251236
296,gpt-4o,least_to_most,rs_size_25,327,15.775884120503356,0.08928604624857082,0.025604758620895618
278,gpt-4o,directional_stimuli,rs_size_25,374,15.831471798522577,0.13002632519148408,0.05716571491936362
327,gpt-4o,skeleton_of_thought,rs_size_5,349,16.095377875760274,0.273285847612637,0.12364470281474205
329,gpt-4o,step_back_prompting,rs_size_10,256,16.25544298846091,0.21182569425197234,0.06278424242467961
8,claude-3-5-sonnet-20240620,chain_of_verification,rs_size_150,375,16.294519981172,0.20230000749248486,0.1351839164089319
504,llama3:8b,skeleton_of_thought,rs_size_10,255,16.54103444398041,0.12220523580770999,0.05681398311371355
113,claude-3-sonnet-20240229,recursive_criticism_and_improvement,rs_size_50,347,16.80150288093369,0.15603110147712584,0.08793781781978427
328,gpt-4o,skeleton_of_thought,rs_size_50,369,16.868046203534053,0.3204289273863649,0.11585659147246052
24,claude-3-5-sonnet-20240620,generated_knowledge,rs_size_10,375,16.881260933471676,0.07851881583711635,0.026388486482306295
632,mixtral:8x22b,reverse_prompting,rs_size_5,141,16.91570449892843,0.48197298029736935,0.18055515491468743
376,llama3:70b,chain_of_thought,rs_size_150,246,16.92115632277706,0.21367218593568385,0.14003700106758066
102,claude-3-sonnet-20240229,least_to_most,rs_size_10,374,16.921283372366826,0.3321062649766417,0.10423775892696607
468,llama3:8b,generated_knowledge,rs_size_10,310,17.03218524530822,0.19395079149909247,0.09827970714568668
688,phi3:medium-128k,skeleton_of_thought,rs_size_25,369,17.07430282324616,0.0939800206772959,0.033932521146858186
300,gpt-4o,recursive_criticism_and_improvement,rs_size_100,355,17.089922248441727,0.3055435882723595,0.13754188601648498
